Node: 0 Time: 0s Ipv4ListRouting table
  Priority: 0 Protocol: ns3::Ipv4StaticRouting
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
10.0.26.0       10.0.0.2        255.255.255.0   UG    -      -      -   1
127.0.0.0       10.0.0.2        255.0.0.0       UG    -      -      -   1
10.0.27.0       10.0.0.2        255.255.255.0   UG    -      -      -   1
127.0.0.0       10.0.0.2        255.0.0.0       UG    -      -      -   1
10.0.28.0       10.0.0.2        255.255.255.0   UG    -      -      -   1
127.0.0.0       10.0.0.2        255.0.0.0       UG    -      -      -   1
10.0.29.0       10.0.0.2        255.255.255.0   UG    -      -      -   1
127.0.0.0       10.0.0.2        255.0.0.0       UG    -      -      -   1
10.0.30.0       10.0.0.2        255.255.255.0   UG    -      -      -   1
127.0.0.0       10.0.0.2        255.0.0.0       UG    -      -      -   1
10.0.31.0       10.0.0.2        255.255.255.0   UG    -      -      -   1
127.0.0.0       10.0.0.2        255.0.0.0       UG    -      -      -   1
10.0.32.0       10.0.0.2        255.255.255.0   UG    -      -      -   1
127.0.0.0       10.0.0.2        255.0.0.0       UG    -      -      -   1
10.0.33.0       10.0.0.2        255.255.255.0   UG    -      -      -   1
127.0.0.0       10.0.0.2        255.0.0.0       UG    -      -      -   1
10.0.34.0       10.0.0.2        255.255.255.0   UG    -      -      -   1
127.0.0.0       10.0.0.2        255.0.0.0       UG    -      -      -   1
10.0.35.0       10.0.0.2        255.255.255.0   UG    -      -      -   1
127.0.0.0       10.0.0.2        255.0.0.0       UG    -      -      -   1
